Indicator_Name,Indicator_Code
"Final consumption expenditure, etc. (constant LCU)",NE.CON.TETC.KN
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS
Telephone lines,IT.MLT.MAIN
"Average interest on new external debt commitments, private (%)",DT.INR.PRVT
Money (current LCU),FM.LBL.MONY.CN
"Household final consumption expenditure, etc. (current US$)",NE.CON.PETC.CD
"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD
"School enrollment, secondary (% net)",SE.SEC.NENR
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP
"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD
"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD
(%) Generosity of Unemp benefits and ALMP,lm_ub.gen_pop
Time to resolve insolvency (years),IC.ISV.DURS
"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS
Procedures to register property (number),IC.PRP.PROC
Gross domestic savings (current LCU),NY.GDS.TOTL.CN
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS
GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD
Refugee population by country or territory of origin,SM.POP.REFG.OR
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD
"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD
"Health expenditure, public (% of GDP)",SH.XPD.PUBL.ZS
Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD
Changes in inventories (current US$),NE.GDI.STKB.CD
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD
Land area (sq. km),AG.LND.TOTL.K2
Deposit interest rate (%),FR.INR.DPST
(%) Benefits held by 1st 20% population - All Social Insurance,allsi.bi_q1
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD
"EBRD, private nonguaranteed (NFL, current US$)",DT.NFL.NEBR.CD
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS
"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6
"Employment to population ratio, 15+, male (%)",SL.EMP.TOTL.SP.MA.ZS
Other taxes (current LCU),GC.TAX.OTHR.CN
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD
Lending interest rate (%),FR.INR.LEND
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS
"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD
CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS
Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS
"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS
"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS
"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD
"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD
"Unemployment with primary education, female (% of female unemployment)",SL.UEM.PRIM.FE.ZS
